0.1 0.11 0 -0.004
0.11 0.12 0.0266667 0.588
0.12 0.13 0.571429 0.404
0.13 0.14 0.25 0.424
0.14 0.15 0.0517241 0.6
0.15 0.16 0.133333 0.42
0.16 0.17 0.125 0.444
0.17 0.18 0.173913 0.412
0.18 0.19 0.162162 0.42
0.19 0.2 0.313725 0.42
0.2 0.21 0.292683 0.412
0.21 0.22 0.181818 0.412
0.22 0.23 0.470588 0.416
0.23 0.24 0.512821 0.4
0.24 0.25 0.5 0.404
0.25 0.26 0.4375 0.404
0.26 0.27 0.5 0.384
0.27 0.28 0.472727 0.408
0.28 0.29 0.626866 0.408
0.29 0.3 0.578947 0.4
0.3 0.31 0.540541 0.4
0.31 0.32 0.52381 0.396
0.32 0.33 0.526316 0.4
0.33 0.34 0.556962 0.416
0.34 0.35 0.56 0.412
0.35 0.36 0.71875 0.404
0.36 0.37 0.733333 0.392
0.37 0.38 0.631579 0.392
0.38 0.39 0.538462 0.404
0.39 0.4 0.657534 0.404
0.4 0.41 0.618182 0.4
0.41 0.42 0.75 0.404
0.42 0.43 0.852459 0.4
0.43 0.44 0.782609 0.392
0.44 0.45 0.693878 0.4
0.45 0.46 0.830189 0.396
0.46 0.47 0.78125 0.4
0.47 0.48 0.739726 0.4
0.48 0.49 0.771084 0.4
0.49 0.5 0.819672 0.4
0.5 0.51 0.857143 0.404
0.51 0.52 0.883721 0.408
0.52 0.53 0.845361 0.408
0.53 0.54 0.925 0.408
0.54 0.55 0.923077 0.408
0.55 0.56 0.891304 0.408
0.56 0.57 0.923077 0.4
0.57 0.58 0.932039 0.412
0.58 0.59 0.923077 0.408
0.59 0.6 0.877551 0.404
0.6 0.61 0.897196 0.408
0.61 0.62 0.848485 0.4
0.62 0.63 0.834783 0.396
0.63 0.64 0.769231 0.392
0.64 0.65 0.854962 0.392
0.65 0.66 0.842105 0.392
0.66 0.67 0.827068 0.392
0.67 0.68 0.8 0.396
0.68 0.69 0.868852 0.396
0.69 0.7 0.867133 0.396
0.7 0.71 0.915033 0.396
0.71 0.72 0.939394 0.4
